número do decreto;data do decreto;valor do decreto;Tipo de Crédito Adicional;fonte de recurso do crédito adicional
07/2023;3 de Julho de 2023;15.390.000,00;Créditos Suplementares;
06/2023;1 de Junho de 2023;21.614.000,00;Créditos Suplementares;
06/2023;1 de Junho de 2023;6.260.000,00;Créditos Suplementares;
04/2023;3 de Abril de 2023;14.210.000,00;Créditos Suplementares;
03/2023;1 de Março de 2023;1.700.000,00;Créditos Suplementares;
02/2023;1 de Fevereiro de 2023;100.000,00;Créditos Suplementares;
01/2023;2 de Janeiro de 2023;2.400.000,00;Créditos Suplementares;
058/2023;27 de Outubro de 2023;20.480.662,00;Créditos Especiais;
057/2023;27 de Outubro de 2023;9.577.000,00;Créditos Especiais;
057/2023;27 de Outubro de 2023;20.480.662,00;Créditos Especiais;
